,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1633046400000,502.78,503.7,502.2,503.6,19989.168681431496,2021-10-01 00:00:00+00:00,2021-10-01,2021,10,1,0,0,0,4,274
1,1633046700000,503.6,503.879,501.2,501.509,16855.7207553,2021-10-01 00:05:00+00:00,2021-10-01,2021,10,1,0,5,0,4,274
2,1633047000000,501.14,502.73,500.6,501.97,10616.3445998,2021-10-01 00:10:00+00:00,2021-10-01,2021,10,1,0,10,0,4,274
3,1633047300000,501.8,503.18,501.6,503.1,6056.9969389,2021-10-01 00:15:00+00:00,2021-10-01,2021,10,1,0,15,0,4,274
4,1633047600000,503.1,504.339,503.1,504.339,8911.5050411,2021-10-01 00:20:00+00:00,2021-10-01,2021,10,1,0,20,0,4,274
5,1633047900000,504.3,505.279,503.651,505.279,15381.3054916035,2021-10-01 00:25:00+00:00,2021-10-01,2021,10,1,0,25,0,4,274
6,1633048200000,505.06,505.9,504.9,505.529,13858.0593406172,2021-10-01 00:30:00+00:00,2021-10-01,2021,10,1,0,30,0,4,274
7,1633048500000,505.3,505.899,504.221,504.7,26200.8717474,2021-10-01 00:35:00+00:00,2021-10-01,2021,10,1,0,35,0,4,274
8,1633048800000,504.859,505.09,504.5,505.0,4196.65462838,2021-10-01 00:40:00+00:00,2021-10-01,2021,10,1,0,40,0,4,274
9,1633049100000,504.7,504.739,503.09,503.4,8549.8739492,2021-10-01 00:45:00+00:00,2021-10-01,2021,10,1,0,45,0,4,274
10,1633049400000,503.12,503.36,502.24,502.3,8715.5523418648,2021-10-01 00:50:00+00:00,2021-10-01,2021,10,1,0,50,0,4,274
11,1633049700000,502.2,503.27,502.2,502.779,4253.0737166,2021-10-01 00:55:00+00:00,2021-10-01,2021,10,1,0,55,0,4,274
12,1633050000000,502.72,502.72,501.0,501.4,10334.737774584992,2021-10-01 01:00:00+00:00,2021-10-01,2021,10,1,1,0,0,4,274
13,1633050300000,501.38,502.34,500.68,501.15,22829.2029915,2021-10-01 01:05:00+00:00,2021-10-01,2021,10,1,1,5,0,4,274
14,1633050600000,501.2,501.429,500.7,501.2,6852.958684,2021-10-01 01:10:00+00:00,2021-10-01,2021,10,1,1,10,0,4,274
15,1633050900000,501.1,501.8,501.0,501.7,5826.6812183,2021-10-01 01:15:00+00:00,2021-10-01,2021,10,1,1,15,0,4,274
16,1633051200000,501.759,502.34,501.621,501.721,9239.246364,2021-10-01 01:20:00+00:00,2021-10-01,2021,10,1,1,20,0,4,274
17,1633051500000,501.8,501.8,501.369,501.4,5446.4570615,2021-10-01 01:25:00+00:00,2021-10-01,2021,10,1,1,25,0,4,274
18,1633051800000,501.83,502.71,501.5,502.581,5443.1657552,2021-10-01 01:30:00+00:00,2021-10-01,2021,10,1,1,30,0,4,274
19,1633052100000,502.7,503.8,502.651,503.8,5017.4205918,2021-10-01 01:35:00+00:00,2021-10-01,2021,10,1,1,35,0,4,274
20,1633052400000,503.9,505.001,503.8,504.91,7160.45936,2021-10-01 01:40:00+00:00,2021-10-01,2021,10,1,1,40,0,4,274
21,1633052700000,504.921,505.1,504.1,504.1,11400.6760511,2021-10-01 01:45:00+00:00,2021-10-01,2021,10,1,1,45,0,4,274
22,1633053000000,504.1,506.4,503.55,504.6,24449.2426927,2021-10-01 01:50:00+00:00,2021-10-01,2021,10,1,1,50,0,4,274
23,1633053300000,504.6,506.079,504.6,506.0,2801.3281871,2021-10-01 01:55:00+00:00,2021-10-01,2021,10,1,1,55,0,4,274
24,1633053600000,506.0,507.229,506.0,507.229,14803.9558036,2021-10-01 02:00:00+00:00,2021-10-01,2021,10,1,2,0,0,4,274
25,1633053900000,507.1,507.609,506.511,506.9,17213.9910067,2021-10-01 02:05:00+00:00,2021-10-01,2021,10,1,2,5,0,4,274
26,1633054200000,507.0,507.12,504.62,505.0,8916.727988,2021-10-01 02:10:00+00:00,2021-10-01,2021,10,1,2,10,0,4,274
27,1633054500000,504.7,504.73,503.4,503.41,6662.204679,2021-10-01 02:15:00+00:00,2021-10-01,2021,10,1,2,15,0,4,274
28,1633054800000,503.52,504.079,503.1,503.2,33166.3688329912,2021-10-01 02:20:00+00:00,2021-10-01,2021,10,1,2,20,0,4,274
29,1633055100000,503.2,503.89,503.2,503.5,3931.8566331,2021-10-01 02:25:00+00:00,2021-10-01,2021,10,1,2,25,0,4,274
30,1633055400000,503.539,503.87,502.63,503.6,3749.0340338558,2021-10-01 02:30:00+00:00,2021-10-01,2021,10,1,2,30,0,4,274
31,1633055700000,503.5,503.5,501.92,502.109,6685.377812452,2021-10-01 02:35:00+00:00,2021-10-01,2021,10,1,2,35,0,4,274
32,1633056000000,501.7,502.249,500.89,502.2,11231.9716879,2021-10-01 02:40:00+00:00,2021-10-01,2021,10,1,2,40,0,4,274
33,1633056300000,502.1,502.1,500.81,501.1,10302.2692648,2021-10-01 02:45:00+00:00,2021-10-01,2021,10,1,2,45,0,4,274
34,1633056600000,501.2,501.389,500.7,501.2,7692.7703287716,2021-10-01 02:50:00+00:00,2021-10-01,2021,10,1,2,50,0,4,274
35,1633056900000,501.3,502.03,501.3,501.5,6055.749814011,2021-10-01 02:55:00+00:00,2021-10-01,2021,10,1,2,55,0,4,274
