,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1643673600000,38467.0,38467.01,38313.0,38431.98,366469.69030884857,2022-02-01 00:00:00+00:00,2022-02-01,2022,2,1,0,0,0,1,32
1,1643673900000,38431.99,38622.49,38418.83,38600.4,492953.9338008883,2022-02-01 00:05:00+00:00,2022-02-01,2022,2,1,0,5,0,1,32
2,1643674200000,38597.0,38597.85,38507.01,38507.01,370850.140979132,2022-02-01 00:10:00+00:00,2022-02-01,2022,2,1,0,10,0,1,32
3,1643674500000,38507.0,38512.06,38307.7,38344.91,502259.5298605729,2022-02-01 00:15:00+00:00,2022-02-01,2022,2,1,0,15,0,1,32
4,1643674800000,38344.91,38437.58,38314.62,38407.0,255126.8452616722,2022-02-01 00:20:00+00:00,2022-02-01,2022,2,1,0,20,0,1,32
5,1643675100000,38415.35,38442.21,38404.96,38435.34,77064.3893182955,2022-02-01 00:25:00+00:00,2022-02-01,2022,2,1,0,25,0,1,32
6,1643675400000,38437.0,38468.27,38370.0,38395.0,191071.5599053196,2022-02-01 00:30:00+00:00,2022-02-01,2022,2,1,0,30,0,1,32
7,1643675700000,38395.0,38397.0,38325.74,38326.31,247117.0267026156,2022-02-01 00:35:00+00:00,2022-02-01,2022,2,1,0,35,0,1,32
8,1643676000000,38326.3,38331.66,38291.52,38308.93,117198.1712368525,2022-02-01 00:40:00+00:00,2022-02-01,2022,2,1,0,40,0,1,32
9,1643676300000,38308.93,38365.93,38278.0,38329.01,265139.5804454587,2022-02-01 00:45:00+00:00,2022-02-01,2022,2,1,0,45,0,1,32
10,1643676600000,38329.01,38360.76,38327.6,38339.0,25986.4974732775,2022-02-01 00:50:00+00:00,2022-02-01,2022,2,1,0,50,0,1,32
11,1643676900000,38339.01,38347.0,38300.01,38340.0,86266.644319981,2022-02-01 00:55:00+00:00,2022-02-01,2022,2,1,0,55,0,1,32
12,1643677200000,38340.01,38389.97,38306.17,38328.0,236170.22106155654,2022-02-01 01:00:00+00:00,2022-02-01,2022,2,1,1,0,0,1,32
13,1643677500000,38328.01,38400.97,38312.01,38374.19,129046.715379237,2022-02-01 01:05:00+00:00,2022-02-01,2022,2,1,1,5,0,1,32
14,1643677800000,38374.19,38389.71,38353.0,38373.99,51364.96385048465,2022-02-01 01:10:00+00:00,2022-02-01,2022,2,1,1,10,0,1,32
15,1643678100000,38373.0,38381.8,38324.06,38335.86,105777.13381,2022-02-01 01:15:00+00:00,2022-02-01,2022,2,1,1,15,0,1,32
16,1643678400000,38332.0,38340.1,38321.11,38324.0,67279.2989935396,2022-02-01 01:20:00+00:00,2022-02-01,2022,2,1,1,20,0,1,32
17,1643678700000,38321.0,38330.55,38276.57,38306.02,110995.8146190678,2022-02-01 01:25:00+00:00,2022-02-01,2022,2,1,1,25,0,1,32
18,1643679000000,38310.14,38320.0,38290.0,38299.0,43303.63346794665,2022-02-01 01:30:00+00:00,2022-02-01,2022,2,1,1,30,0,1,32
19,1643679300000,38289.5,38319.23,38288.51,38310.8,82714.8663520324,2022-02-01 01:35:00+00:00,2022-02-01,2022,2,1,1,35,0,1,32
20,1643679600000,38310.8,38328.6,38278.35,38286.0,83603.1549989753,2022-02-01 01:40:00+00:00,2022-02-01,2022,2,1,1,40,0,1,32
21,1643679900000,38283.99,38295.02,38184.0,38201.41,495820.89851667586,2022-02-01 01:45:00+00:00,2022-02-01,2022,2,1,1,45,0,1,32
22,1643680200000,38199.0,38277.58,38184.79,38213.11,149799.2456669026,2022-02-01 01:50:00+00:00,2022-02-01,2022,2,1,1,50,0,1,32
23,1643680500000,38213.11,38277.49,38213.11,38242.54,150298.8813490415,2022-02-01 01:55:00+00:00,2022-02-01,2022,2,1,1,55,0,1,32
24,1643680800000,38242.55,38299.99,38234.0,38255.0,112036.44230094129,2022-02-01 02:00:00+00:00,2022-02-01,2022,2,1,2,0,0,1,32
25,1643681100000,38244.78,38281.01,38204.33,38256.0,99673.1194930079,2022-02-01 02:05:00+00:00,2022-02-01,2022,2,1,2,5,0,1,32
26,1643681400000,38250.1,38307.27,38250.1,38294.72,183838.3785210706,2022-02-01 02:10:00+00:00,2022-02-01,2022,2,1,2,10,0,1,32
