,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1522540800000,395.0,398.92001281,395.0,395.37,111130.95954921,2018-04-01 00:00:00+00:00,2018-04-01,2018,4,1,0,0,0,6,91
1,1522544400000,395.5,398.92001472,395.07999999,398.76999998,119761.99989059,2018-04-01 01:00:00+00:00,2018-04-01,2018,4,1,1,0,0,6,91
2,1522548000000,398.77,398.92000229,392.52,394.29,193333.1013784,2018-04-01 02:00:00+00:00,2018-04-01,2018,4,1,2,0,0,6,91
3,1522551600000,394.28999998,396.00000001,392.5,394.54999997,154919.29108074,2018-04-01 03:00:00+00:00,2018-04-01,2018,4,1,3,0,0,6,91
4,1522555200000,396.74,396.74000356,393.23999999,394.14,68137.71068929,2018-04-01 04:00:00+00:00,2018-04-01,2018,4,1,4,0,0,6,91
5,1522558800000,395.47999997,396.00001067,394.14,395.95,116538.57337859,2018-04-01 05:00:00+00:00,2018-04-01,2018,4,1,5,0,0,6,91
6,1522562400000,395.37,395.95003306,383.0,386.21000967,883324.0684106,2018-04-01 06:00:00+00:00,2018-04-01,2018,4,1,6,0,0,6,91
7,1522566000000,385.14,386.19000994,375.03,378.0,522552.47024672,2018-04-01 07:00:00+00:00,2018-04-01,2018,4,1,7,0,0,6,91
8,1522569600000,378.02,382.0900008,377.40999905,378.50999991,374083.34444316,2018-04-01 08:00:00+00:00,2018-04-01,2018,4,1,8,0,0,6,91
9,1522573200000,378.55,381.99003803,373.14,381.98,462337.42511117,2018-04-01 09:00:00+00:00,2018-04-01,2018,4,1,9,0,0,6,91
10,1522576800000,381.98,381.99000957,377.15,379.54,207108.22400691,2018-04-01 10:00:00+00:00,2018-04-01,2018,4,1,10,0,0,6,91
11,1522580400000,380.0,381.39,375.0,376.08,207757.68946667,2018-04-01 11:00:00+00:00,2018-04-01,2018,4,1,11,0,0,6,91
12,1522584000000,376.08,378.80004671,375.5,377.50000001,205013.59636161,2018-04-01 12:00:00+00:00,2018-04-01,2018,4,1,12,0,0,6,91
13,1522587600000,375.88,377.89572696,368.66,369.33,548659.43015804,2018-04-01 13:00:00+00:00,2018-04-01,2018,4,1,13,0,0,6,91
14,1522591200000,369.8,393.00000107,358.88,364.2,958624.93754186,2018-04-01 14:00:00+00:00,2018-04-01,2018,4,1,14,0,0,6,91
