,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1622505600000,2706.17,2728.81,2690.64,2723.62,1110242.588796715,2021-06-01 00:00:00+00:00,2021-06-01,2021,6,1,0,0,0,1,152
1,1622505900000,2724.62,2736.04,2719.51,2728.82,1217802.86861356,2021-06-01 00:05:00+00:00,2021-06-01,2021,6,1,0,5,0,1,152
2,1622506200000,2728.59,2739.73,2728.59,2731.95,340803.82030423323,2021-06-01 00:10:00+00:00,2021-06-01,2021,6,1,0,10,0,1,152
3,1622506500000,2731.95,2734.85,2715.35,2715.35,351154.96566325636,2021-06-01 00:15:00+00:00,2021-06-01,2021,6,1,0,15,0,1,152
4,1622506800000,2715.35,2725.96,2709.35,2723.03,464616.0039939458,2021-06-01 00:20:00+00:00,2021-06-01,2021,6,1,0,20,0,1,152
5,1622507100000,2723.02,2733.96,2717.19,2730.81,386108.0113237847,2021-06-01 00:25:00+00:00,2021-06-01,2021,6,1,0,25,0,1,152
6,1622507400000,2730.36,2730.47,2716.17,2717.71,258592.3324645984,2021-06-01 00:30:00+00:00,2021-06-01,2021,6,1,0,30,0,1,152
7,1622507700000,2717.61,2728.0,2710.0,2724.38,431884.671809313,2021-06-01 00:35:00+00:00,2021-06-01,2021,6,1,0,35,0,1,152
8,1622508000000,2724.6,2733.64,2723.96,2725.21,398425.8461091834,2021-06-01 00:40:00+00:00,2021-06-01,2021,6,1,0,40,0,1,152
9,1622508300000,2725.3,2727.66,2721.01,2721.18,159318.3486803483,2021-06-01 00:45:00+00:00,2021-06-01,2021,6,1,0,45,0,1,152
10,1622508600000,2721.19,2734.47,2721.19,2730.31,541371.5922362773,2021-06-01 00:50:00+00:00,2021-06-01,2021,6,1,0,50,0,1,152
11,1622508900000,2730.26,2738.94,2727.93,2730.18,1779431.0145824947,2021-06-01 00:55:00+00:00,2021-06-01,2021,6,1,0,55,0,1,152
12,1622509200000,2730.25,2730.26,2719.76,2725.89,414260.67656934593,2021-06-01 01:00:00+00:00,2021-06-01,2021,6,1,1,0,0,1,152
13,1622509500000,2725.78,2727.26,2710.8,2717.0,307812.9140693776,2021-06-01 01:05:00+00:00,2021-06-01,2021,6,1,1,5,0,1,152
14,1622509800000,2716.54,2716.57,2704.01,2710.22,395436.9687912598,2021-06-01 01:10:00+00:00,2021-06-01,2021,6,1,1,10,0,1,152
15,1622510100000,2710.3,2717.05,2703.19,2703.2,472028.1147151583,2021-06-01 01:15:00+00:00,2021-06-01,2021,6,1,1,15,0,1,152
16,1622510400000,2703.18,2706.4,2685.6,2685.75,923776.547194756,2021-06-01 01:20:00+00:00,2021-06-01,2021,6,1,1,20,0,1,152
17,1622510700000,2685.68,2687.65,2667.73,2679.71,1055963.81402414,2021-06-01 01:25:00+00:00,2021-06-01,2021,6,1,1,25,0,1,152
18,1622511000000,2679.7,2679.72,2663.16,2664.29,789923.4977986976,2021-06-01 01:30:00+00:00,2021-06-01,2021,6,1,1,30,0,1,152
19,1622511300000,2664.44,2679.78,2663.68,2678.7,474518.39816199,2021-06-01 01:35:00+00:00,2021-06-01,2021,6,1,1,35,0,1,152
20,1622511600000,2678.64,2686.06,2675.43,2680.17,420020.5470836177,2021-06-01 01:40:00+00:00,2021-06-01,2021,6,1,1,40,0,1,152
21,1622511900000,2679.79,2679.79,2668.51,2678.61,334468.87914396054,2021-06-01 01:45:00+00:00,2021-06-01,2021,6,1,1,45,0,1,152
22,1622512200000,2678.71,2684.57,2675.0,2679.94,238032.56532316122,2021-06-01 01:50:00+00:00,2021-06-01,2021,6,1,1,50,0,1,152
23,1622512500000,2679.92,2681.25,2651.0,2660.88,432638.4492862295,2021-06-01 01:55:00+00:00,2021-06-01,2021,6,1,1,55,0,1,152
24,1622512800000,2660.99,2674.9,2660.99,2670.63,349222.18386192294,2021-06-01 02:00:00+00:00,2021-06-01,2021,6,1,2,0,0,1,152
25,1622513100000,2670.48,2670.7,2643.37,2643.4,651723.1513172201,2021-06-01 02:05:00+00:00,2021-06-01,2021,6,1,2,5,0,1,152
26,1622513400000,2643.36,2646.75,2628.41,2632.52,880745.5809931364,2021-06-01 02:10:00+00:00,2021-06-01,2021,6,1,2,10,0,1,152
27,1622513700000,2632.44,2638.19,2614.15,2622.94,859490.7637608614,2021-06-01 02:15:00+00:00,2021-06-01,2021,6,1,2,15,0,1,152
28,1622514000000,2623.38,2633.32,2620.84,2631.95,509138.1563447729,2021-06-01 02:20:00+00:00,2021-06-01,2021,6,1,2,20,0,1,152
29,1622514300000,2632.0,2634.57,2621.98,2622.9,446053.03438519186,2021-06-01 02:25:00+00:00,2021-06-01,2021,6,1,2,25,0,1,152
30,1622514600000,2622.79,2642.3,2621.43,2641.4,495899.9960182917,2021-06-01 02:30:00+00:00,2021-06-01,2021,6,1,2,30,0,1,152
31,1622514900000,2641.87,2648.39,2639.52,2644.51,570562.3238336836,2021-06-01 02:35:00+00:00,2021-06-01,2021,6,1,2,35,0,1,152
32,1622515200000,2644.57,2644.61,2632.33,2637.83,397042.0038597972,2021-06-01 02:40:00+00:00,2021-06-01,2021,6,1,2,40,0,1,152
33,1622515500000,2637.99,2644.67,2630.66,2638.56,331842.2610805756,2021-06-01 02:45:00+00:00,2021-06-01,2021,6,1,2,45,0,1,152
34,1622515800000,2638.75,2642.92,2631.03,2634.99,373905.1900992448,2021-06-01 02:50:00+00:00,2021-06-01,2021,6,1,2,50,0,1,152
35,1622516100000,2634.99,2644.57,2633.97,2644.47,325379.1183260213,2021-06-01 02:55:00+00:00,2021-06-01,2021,6,1,2,55,0,1,152
36,1622516400000,2644.45,2644.55,2633.24,2636.81,239915.73118651225,2021-06-01 03:00:00+00:00,2021-06-01,2021,6,1,3,0,0,1,152
37,1622516700000,2637.45,2661.64,2636.2,2657.69,568039.3386600234,2021-06-01 03:05:00+00:00,2021-06-01,2021,6,1,3,5,0,1,152
38,1622517000000,2656.61,2665.0,2650.7,2661.47,416080.8355146729,2021-06-01 03:10:00+00:00,2021-06-01,2021,6,1,3,10,0,1,152
39,1622517300000,2661.41,2677.42,2661.41,2677.06,681693.8234785123,2021-06-01 03:15:00+00:00,2021-06-01,2021,6,1,3,15,0,1,152
40,1622517600000,2677.29,2677.65,2665.57,2666.33,534756.7323647678,2021-06-01 03:20:00+00:00,2021-06-01,2021,6,1,3,20,0,1,152
41,1622517900000,2666.26,2668.25,2657.89,2658.01,302320.8649749512,2021-06-01 03:25:00+00:00,2021-06-01,2021,6,1,3,25,0,1,152
42,1622518200000,2658.0,2658.0,2632.07,2634.41,494925.82636988646,2021-06-01 03:30:00+00:00,2021-06-01,2021,6,1,3,30,0,1,152
43,1622518500000,2635.28,2642.12,2631.66,2639.38,359144.2995123397,2021-06-01 03:35:00+00:00,2021-06-01,2021,6,1,3,35,0,1,152
44,1622518800000,2639.38,2639.97,2626.32,2633.18,473599.4645793342,2021-06-01 03:40:00+00:00,2021-06-01,2021,6,1,3,40,0,1,152
45,1622519100000,2633.62,2633.62,2614.14,2620.0,456519.28504075634,2021-06-01 03:45:00+00:00,2021-06-01,2021,6,1,3,45,0,1,152
46,1622519400000,2620.2,2637.93,2620.14,2634.4,482719.1406885406,2021-06-01 03:50:00+00:00,2021-06-01,2021,6,1,3,50,0,1,152
47,1622519700000,2634.39,2641.53,2626.18,2630.77,323089.8858638092,2021-06-01 03:55:00+00:00,2021-06-01,2021,6,1,3,55,0,1,152
48,1622520000000,2630.63,2641.38,2615.09,2639.45,677380.962471056,2021-06-01 04:00:00+00:00,2021-06-01,2021,6,1,4,0,0,1,152
49,1622520300000,2639.33,2639.45,2623.4,2628.57,333396.30387795554,2021-06-01 04:05:00+00:00,2021-06-01,2021,6,1,4,5,0,1,152
