,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1561939200000,123.37,125.71,121.9,125.0,302116.39781005855,2019-07-01 00:00:00+00:00,2019-07-01,2019,7,1,0,0,0,0,182
1,1561942800000,125.26,126.37,124.16,124.59,202868.11892754844,2019-07-01 01:00:00+00:00,2019-07-01,2019,7,1,1,0,0,0,182
2,1561946400000,124.59,126.0,123.16,125.81,151779.94851465503,2019-07-01 02:00:00+00:00,2019-07-01,2019,7,1,2,0,0,0,182
3,1561950000000,125.79,127.06,125.09,125.72,102002.12535027105,2019-07-01 03:00:00+00:00,2019-07-01,2019,7,1,3,0,0,0,182
4,1561953600000,125.99,126.34,124.83,125.98,165414.91146784258,2019-07-01 04:00:00+00:00,2019-07-01,2019,7,1,4,0,0,0,182
5,1561957200000,125.66,125.66,123.12,123.22,198135.2152716365,2019-07-01 05:00:00+00:00,2019-07-01,2019,7,1,5,0,0,0,182
6,1561960800000,123.51,125.45,123.4,124.24,106401.93874684602,2019-07-01 06:00:00+00:00,2019-07-01,2019,7,1,6,0,0,0,182
7,1561964400000,124.43,125.0,123.5,124.37,265744.253057648,2019-07-01 07:00:00+00:00,2019-07-01,2019,7,1,7,0,0,0,182
8,1561968000000,124.37,125.69,124.15,125.26,142062.09055049464,2019-07-01 08:00:00+00:00,2019-07-01,2019,7,1,8,0,0,0,182
9,1561971600000,125.26,125.31,124.05,124.05,110733.9183506827,2019-07-01 09:00:00+00:00,2019-07-01,2019,7,1,9,0,0,0,182
10,1561975200000,124.14,124.14,121.51,122.59,382406.3877453042,2019-07-01 10:00:00+00:00,2019-07-01,2019,7,1,10,0,0,0,182
11,1561978800000,122.59,123.27,121.89,123.27,149426.3443953009,2019-07-01 11:00:00+00:00,2019-07-01,2019,7,1,11,0,0,0,182
12,1561982400000,123.18,123.31,118.2,119.89,521693.21403343236,2019-07-01 12:00:00+00:00,2019-07-01,2019,7,1,12,0,0,0,182
13,1561986000000,119.92,121.75,119.51,119.51,270902.6235165204,2019-07-01 13:00:00+00:00,2019-07-01,2019,7,1,13,0,0,0,182
14,1561989600000,119.57,121.45,116.7,117.28,501790.2190569645,2019-07-01 14:00:00+00:00,2019-07-01,2019,7,1,14,0,0,0,182
15,1561993200000,117.46,119.23,115.71,118.93,567791.6996696728,2019-07-01 15:00:00+00:00,2019-07-01,2019,7,1,15,0,0,0,182
16,1561996800000,118.99,119.78,117.14,117.58,347314.3073321454,2019-07-01 16:00:00+00:00,2019-07-01,2019,7,1,16,0,0,0,182
17,1562000400000,117.74,118.56,115.02,116.38,337465.6058502813,2019-07-01 17:00:00+00:00,2019-07-01,2019,7,1,17,0,0,0,182
18,1562004000000,116.26,118.6,114.42,117.68,254995.93610696148,2019-07-01 18:00:00+00:00,2019-07-01,2019,7,1,18,0,0,0,182
19,1562007600000,117.42,117.64,114.01,115.94,192015.73380418084,2019-07-01 19:00:00+00:00,2019-07-01,2019,7,1,19,0,0,0,182
20,1562011200000,116.21,120.62,116.03,119.18,165669.18449420415,2019-07-01 20:00:00+00:00,2019-07-01,2019,7,1,20,0,0,0,182
21,1562014800000,119.62,122.14,119.62,121.53,102758.40539375987,2019-07-01 21:00:00+00:00,2019-07-01,2019,7,1,21,0,0,0,182
22,1562018400000,121.35,121.35,120.23,120.85,42257.23583001382,2019-07-01 22:00:00+00:00,2019-07-01,2019,7,1,22,0,0,0,182
23,1562022000000,120.85,124.65,120.85,123.21,445308.12605473667,2019-07-01 23:00:00+00:00,2019-07-01,2019,7,1,23,0,0,0,182
24,1562025600000,123.22,124.09,120.02,120.1,311832.70435380057,2019-07-02 00:00:00+00:00,2019-07-02,2019,7,2,0,0,0,1,183
25,1562029200000,120.01,121.11,118.25,118.93,338444.7853738751,2019-07-02 01:00:00+00:00,2019-07-02,2019,7,2,1,0,0,1,183
26,1562032800000,118.93,119.87,118.06,118.45,159665.8838925471,2019-07-02 02:00:00+00:00,2019-07-02,2019,7,2,2,0,0,1,183
27,1562036400000,118.3,119.39,118.0,119.27,85669.1584854729,2019-07-02 03:00:00+00:00,2019-07-02,2019,7,2,3,0,0,1,183
28,1562040000000,119.26,119.76,114.81,116.12,602900.8606700328,2019-07-02 04:00:00+00:00,2019-07-02,2019,7,2,4,0,0,1,183
29,1562043600000,116.18,116.74,113.0,114.32,424944.1236975639,2019-07-02 05:00:00+00:00,2019-07-02,2019,7,2,5,0,0,1,183
30,1562047200000,114.0,115.21,112.81,114.12,228521.0268149434,2019-07-02 06:00:00+00:00,2019-07-02,2019,7,2,6,0,0,1,183
31,1562050800000,113.85,115.84,113.85,115.0,298072.4570051939,2019-07-02 07:00:00+00:00,2019-07-02,2019,7,2,7,0,0,1,183
32,1562054400000,115.01,118.52,114.69,117.63,353803.76428923744,2019-07-02 08:00:00+00:00,2019-07-02,2019,7,2,8,0,0,1,183
33,1562058000000,117.76,118.5,116.28,116.49,242754.92022489785,2019-07-02 09:00:00+00:00,2019-07-02,2019,7,2,9,0,0,1,183
34,1562061600000,116.48,117.13,115.1,115.58,223820.3620534687,2019-07-02 10:00:00+00:00,2019-07-02,2019,7,2,10,0,0,1,183
35,1562065200000,115.27,117.12,112.8,115.32,505237.7534717089,2019-07-02 11:00:00+00:00,2019-07-02,2019,7,2,11,0,0,1,183
36,1562068800000,115.11,118.6,114.92,116.49,355420.751883157,2019-07-02 12:00:00+00:00,2019-07-02,2019,7,2,12,0,0,1,183
37,1562072400000,116.51,117.11,115.33,115.68,123499.850562029,2019-07-02 13:00:00+00:00,2019-07-02,2019,7,2,13,0,0,1,183
38,1562076000000,115.8,118.62,115.73,117.95,287503.4039559118,2019-07-02 14:00:00+00:00,2019-07-02,2019,7,2,14,0,0,1,183
