,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1635724800000,191.88,192.021,190.841,191.226,125805.48247411892,2021-11-01 00:00:00+00:00,2021-11-01,2021,11,1,0,0,0,0,305
1,1635725100000,191.3,191.747,191.287,191.747,39055.6931401,2021-11-01 00:05:00+00:00,2021-11-01,2021,11,1,0,5,0,0,305
2,1635725400000,191.899,193.049,191.67,192.813,151445.28137123885,2021-11-01 00:10:00+00:00,2021-11-01,2021,11,1,0,10,0,0,305
3,1635725700000,192.8,193.516,192.771,193.48,177528.2353792619,2021-11-01 00:15:00+00:00,2021-11-01,2021,11,1,0,15,0,0,305
4,1635726000000,193.341,193.5,192.86,193.2,131413.9304263746,2021-11-01 00:20:00+00:00,2021-11-01,2021,11,1,0,20,0,0,305
5,1635726300000,193.151,193.415,193.151,193.201,147357.6379021296,2021-11-01 00:25:00+00:00,2021-11-01,2021,11,1,0,25,0,0,305
6,1635726600000,193.181,193.52,192.891,193.1,168315.8869043913,2021-11-01 00:30:00+00:00,2021-11-01,2021,11,1,0,30,0,0,305
7,1635726900000,193.1,193.349,193.07,193.161,66615.6370687752,2021-11-01 00:35:00+00:00,2021-11-01,2021,11,1,0,35,0,0,305
8,1635727200000,193.161,193.2,192.661,192.741,59372.8145045625,2021-11-01 00:40:00+00:00,2021-11-01,2021,11,1,0,40,0,0,305
9,1635727500000,192.749,192.991,192.65,192.911,71501.197241276,2021-11-01 00:45:00+00:00,2021-11-01,2021,11,1,0,45,0,0,305
10,1635727800000,192.971,193.29,192.971,193.111,77334.26631635305,2021-11-01 00:50:00+00:00,2021-11-01,2021,11,1,0,50,0,0,305
11,1635728100000,193.11,193.471,192.961,193.471,58894.64725461,2021-11-01 00:55:00+00:00,2021-11-01,2021,11,1,0,55,0,0,305
12,1635728400000,193.483,193.75,193.361,193.7,83517.5131953911,2021-11-01 01:00:00+00:00,2021-11-01,2021,11,1,1,0,0,0,305
13,1635728700000,193.641,193.749,193.451,193.591,86586.5879822,2021-11-01 01:05:00+00:00,2021-11-01,2021,11,1,1,5,0,0,305
14,1635729000000,193.6,193.6,193.29,193.481,25944.1969816472,2021-11-01 01:10:00+00:00,2021-11-01,2021,11,1,1,10,0,0,305
15,1635729300000,193.491,193.538,192.928,193.081,46512.2550191803,2021-11-01 01:15:00+00:00,2021-11-01,2021,11,1,1,15,0,0,305
16,1635729600000,193.081,193.108,192.891,193.0,24417.73482488555,2021-11-01 01:20:00+00:00,2021-11-01,2021,11,1,1,20,0,0,305
17,1635729900000,193.0,193.109,192.91,192.994,19877.685916,2021-11-01 01:25:00+00:00,2021-11-01,2021,11,1,1,25,0,0,305
18,1635730200000,193.055,193.055,192.601,192.661,88732.59033464955,2021-11-01 01:30:00+00:00,2021-11-01,2021,11,1,1,30,0,0,305
